T(K) pCO2(bar) A_K(W/m^2) A_C(W/m^2) B(W/m^2/K) albedo OLR(W/m^2)
360.80808080808083 0.00023285047539019167 283.7326802608426 298.70333611676597 0.05480745325251121 0.18152204328905353 303.50765228285974
360.80808080808083 0.0002439623450942474 284.29308797312746 298.6598784425816 0.05259670682575198 0.18152225957879936 303.2704048197523
360.80808080808083 0.0002556044849131182 284.8599141683825 298.6176909626821 0.05036711255463875 0.18152248619000966 303.0327753850663
360.80808080808083 0.0002678021998946637 285.4303401838271 298.5762813427161 0.04812718710924002 0.18152272361522567 302.79501819940344
360.80808080808083 0.0002805820026702532 286.0015880299264 298.53516281112115 0.04588531862051887 0.18152297237049056 302.5573817786631
360.80808080808083 0.0002939716710819256 286.5709203903852 298.49385415912263 0.04364976668034951 0.18152323299647372 302.3201089340426
360.80808080808083 0.0003080003085595685 287.1356406221499 298.45187974073474 0.04142866234151527 0.18152350605964454 302.083436772038
360.80808080808083 0.0003226984073793708 287.69309275540706 298.40876947275876 0.039230008117707084 0.18152379215350217 301.8475966944424
360.80808080808083 0.0003380979149410239 288.24066149358333 298.36405883478363 0.03706167798352662 0.18152409189986823 301.6128143983467
360.80808080808083 0.00035423230320775237 288.77577221335065 298.3172888691888 0.03493141737447619 0.18152440595023633 301.37930987614146
360.80808080808083 0.0003711366414600844 289.29589096461643 298.26800618113936 0.03284684318697755 0.18152473498718738 301.1472974155138
360.80808080808083 0.00038884767252151824 289.798524470532 298.2157629385888 0.030815443778351676 0.18152507972587453 300.9169855994484
360.80808080808083 0.0004074038926217519 290.2812201274874 298.1601168722789 0.028844578966836773 0.18152544091557687 300.6885773062289
360.80808080808083 0.0004268456350710727 290.74156600511765 298.10063127574017 0.02694148003156693 0.18152581934132644 300.46226970943655
360.80808080808083 0.0004472151579277757 291.177190846295 298.0368750052909 0.025113249712597048 0.18152621582561557 300.2382542779512
360.80808080808083 0.00046855673584916433 291.58576406713314 297.9684224800364 0.023366862210884947 0.18152663123018423 300.0167167759494
360.80808080808083 0.0004909167563257765 291.9649957569895 297.8948536818718 0.021709163188293305 0.1815270664578928 299.797837262907
360.80808080808083 0.0005143438205080105 292.312636678459 297.8157541554785 0.020146869767598365 0.18152752245468157 299.5817900935965
360.80808080808083 0.0005388888488443022 292.6264782673799 297.73071500832765 0.01868657053248298 0.1815280002116309 299.36874391808993
360.80808080808083 0.0005646051917604683 292.90435263282853 297.63933291067656 0.017334725527541877 0.1815285007671104 299.15886168175575
360.80808080808083 0.000591548745620784 293.1441325571267 297.5412100955719 0.016097666258265624 0.18152902520903694 298.9523006252605
